metabolite,numerator,denominator,p-value,q-value,FC
homocitrulline,GL405,CK10,0.898,0.5161,0.78
proline,GL405,CK10,0.7022,0.4588,0.89
dimethylarginine (SDMA + ADMA),GL405,CK10,0.0532,0.1346,0.62
N-acetylarginine,GL405,CK10,0.9648,0.5378,0.96
N-delta-acetylornithine,GL405,CK10,0.6206,0.4387,1.23
trans-4-hydroxyproline,GL405,CK10,0.8007,0.4855,0.58
pro-hydroxy-pro,GL405,CK10,0.9812,0.541,0.94
N-methylproline,GL405,CK10,0.167,0.2282,0.57
N-monomethylarginine,GL405,CK10,0.7525,0.4724,0.91
argininate*,GL405,CK10,0.2127,0.2554,0.47
creatine,GL405,CK10,0.6648,0.4528,1.25
agmatine,GL405,CK10,0.002,0.0198,9.12
acetylagmatine,GL405,CK10,0.004,0.0314,26.02
putrescine,GL405,CK10,0.4269,0.3693,1.6
N-acetylputrescine,GL405,CK10,0.078,0.1654,7.4
N-carbamoylputrescine,GL405,CK10,0.7631,0.4733,1.69
isoputreanine,GL405,CK10,0.8194,0.4896,0.67
N-acetyl-isoputreanine,GL405,CK10,0.798,0.4855,0.68
spermidine,GL405,CK10,0.005,0.0353,3.44
N('1)-acetylspermidine,GL405,CK10,0.000091844,0.0038,10.02
diacetylspermidine*,GL405,CK10,0.0003,0.0059,23
spermine,GL405,CK10,0.0027,0.0252,11.33
N(1)-acetylspermine,GL405,CK10,0.001,0.0131,9.49
"N1,N12-diacetylspermine",GL405,CK10,0.0026,0.0252,26.43
S-adenosylmethioninamine,GL405,CK10,5.0649E-06,0.0007,121.69
5-methylthioadenosine (MTA),GL405,CK10,0.0064,0.0386,5.83
4-acetamidobutanoate,GL405,CK10,0.3539,0.3304,1.49
4-guanidinobutanoate,GL405,CK10,0.9868,0.541,1.02
"glutathione, reduced (GSH)",GL405,CK10,0.3698,0.3387,2.02
"glutathione, oxidized (GSSG)",GL405,CK10,0.225,0.2607,2.36
cysteine-glutathione disulfide,GL405,CK10,0.6966,0.4566,1.2
cysteinylglycine,GL405,CK10,0.1581,0.2226,2.16
cysteinylglycine disulfide*,GL405,CK10,0.4361,0.3746,0.45
5-oxoproline,GL405,CK10,0.7002,0.4583,1.23
2-hydroxybutyrate/2-hydroxyisobutyrate,GL405,CK10,0.0001,0.0038,16.12
ophthalmate,GL405,CK10,0.101,0.1806,7.18
"S-(1,2-dicarboxyethyl)glutathione",GL405,CK10,0.0184,0.0719,3.16
CoA-glutathione*,GL405,CK10,0.1862,0.2394,2.43
gamma-glutamylalanine,GL405,CK10,0.656,0.4499,0.65
gamma-glutamylcysteine,GL405,CK10,0.5677,0.4176,1.78
gamma-glutamylglutamate,GL405,CK10,0.0872,0.1709,0.38
gamma-glutamylglutamine,GL405,CK10,0.7506,0.4724,0.59
gamma-glutamylglycine,GL405,CK10,0.0112,0.0566,0.19
gamma-glutamylhistidine,GL405,CK10,0.0132,0.0623,0.13
gamma-glutamylisoleucine*,GL405,CK10,0.7355,0.4717,0.72
gamma-glutamylleucine,GL405,CK10,0.7501,0.4724,1.4
gamma-glutamyl-alpha-lysine,GL405,CK10,0.0889,0.1709,5.48
gamma-glutamylmethionine,GL405,CK10,0.8416,0.4946,0.45
gamma-glutamylphenylalanine,GL405,CK10,0.831,0.4916,0.74
gamma-glutamylthreonine,GL405,CK10,0.6241,0.4397,0.74
gamma-glutamyltyrosine,GL405,CK10,0.3019,0.3051,1.66
gamma-glutamylvaline,GL405,CK10,0.9138,0.5187,0.7
gamma-glutamylserine,GL405,CK10,0.9121,0.5186,0.87
gamma-glutamylcitrulline*,GL405,CK10,0.3682,0.3387,0.27
leucylhydroxyproline*,GL405,CK10,0.6189,0.4387,0.71
alanylleucine,GL405,CK10,0.2381,0.2699,3.15
cyclo(gly-pro),GL405,CK10,0.5844,0.4254,0.86
glycylisoleucine,GL405,CK10,0.0548,0.1372,5.92
glycylleucine,GL405,CK10,0.2408,0.2709,2.68
glycylvaline,GL405,CK10,0.0791,0.1657,4.25
histidylalanine,GL405,CK10,0.0257,0.0889,6.73
isoleucylglycine,GL405,CK10,0.0116,0.0566,6.03
leucylalanine,GL405,CK10,0.2576,0.2835,2.41
leucylglycine,GL405,CK10,0.1696,0.2296,2.62
lysylleucine,GL405,CK10,0.0079,0.0451,29.42
phenylalanylalanine,GL405,CK10,0.0301,0.099,5.56
phenylalanylglycine,GL405,CK10,0.0183,0.0719,4.91
phenylalanylhydroxyproline*,GL405,CK10,0.0181,0.0719,6.16
prolylglycine,GL405,CK10,0.1044,0.1811,2.5
threonylphenylalanine,GL405,CK10,0.0674,0.1527,5.01
tyrosylglycine,GL405,CK10,0.006,0.038,7.02
valylglutamine,GL405,CK10,0.0222,0.0814,6.59
valylglycine,GL405,CK10,0.0015,0.0168,7.53
valylleucine,GL405,CK10,0.0678,0.1529,8.41
leucylglutamine*,GL405,CK10,0.164,0.2269,3.73
alanyl-glutamyl-meso-diaminopimelate,GL405,CK10,0.0287,0.0967,0.04
phenylacetylcarnitine,GL405,CK10,0.0072,0.0416,0.1
phenylacetylglutamine,GL405,CK10,0.1423,0.2131,2.21
"N,N-dimethyl-pro-pro",GL405,CK10,0.000017063,0.0018,0.45
"1,5-anhydroglucitol (1,5-AG)",GL405,CK10,0.7211,0.4646,0.91
glucose,GL405,CK10,0.046,0.1281,4.21
glucose 6-phosphate,GL405,CK10,0.0498,0.1321,4.66
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",GL405,CK10,0.2508,0.279,1.94
dihydroxyacetone phosphate (DHAP),GL405,CK10,0.0655,0.1517,2.36
2-phosphoglycerate,GL405,CK10,0.1462,0.2151,3.27
3-phosphoglycerate,GL405,CK10,0.1337,0.2048,2.28
phosphoenolpyruvate (PEP),GL405,CK10,0.1614,0.2247,2.38
pyruvate,GL405,CK10,0.4373,0.3749,0.34
lactate,GL405,CK10,0.0117,0.0566,1.89
glycerate,GL405,CK10,0.6828,0.4543,0.99
6-phosphogluconate,GL405,CK10,0.0007,0.0104,6.68
ribose 1-phosphate,GL405,CK10,0.4721,0.3856,1.69
sedoheptulose-7-phosphate,GL405,CK10,0.0427,0.1229,2.06
ribose,GL405,CK10,0.5527,0.411,0.38
ribitol,GL405,CK10,0.1731,0.2315,0.56
ribonate,GL405,CK10,0.571,0.4194,0.47
arabitol/xylitol,GL405,CK10,0.658,0.4505,1.13
arabonate/xylonate,GL405,CK10,0.9091,0.5186,0.74
sedoheptulose,GL405,CK10,0.7392,0.4724,0.78
lyxonate,GL405,CK10,0.6463,0.4477,1.34
maltotetraose,GL405,CK10,0.1486,0.2164,3.38
maltotriose,GL405,CK10,0.0001,0.0038,12.39
maltose,GL405,CK10,0.338,0.3239,2.13
lactobionate,GL405,CK10,0.1672,0.2282,0.13
trehalose,GL405,CK10,0.0485,0.1308,16.23
trehalose 6-phosphate,GL405,CK10,0.1185,0.1928,6.2
mannitol/sorbitol,GL405,CK10,0.6913,0.4553,1.13
mannose,GL405,CK10,0.0001,0.0038,4.62
galactitol (dulcitol),GL405,CK10,0.0999,0.1795,1.96
UDP-glucose,GL405,CK10,0.5964,0.431,2.05
UDP-galactose,GL405,CK10,0.2896,0.3004,5.23
UDP-glucuronate,GL405,CK10,0.7442,0.4724,0.68
UDP-N-acetylglucosamine/galactosamine,GL405,CK10,0.0006,0.0098,12.44
deoxythymidine diphosphate-rhamnose,GL405,CK10,0.1085,0.1833,0.32
glucosamine-6-phosphate,GL405,CK10,0.0445,0.1248,4.81
glucuronate,GL405,CK10,0.1033,0.1811,1.82
diacetylchitobiose,GL405,CK10,0.4554,0.3804,0.23
N-acetylglucosamine 6-phosphate,GL405,CK10,0.0327,0.1053,3.92
N-acetyl-glucosamine 1-phosphate,GL405,CK10,0.8133,0.4891,0.89
N-acetylmuramate,GL405,CK10,0.0738,0.162,0.08
N-acetylglucosaminylasparagine,GL405,CK10,0.2046,0.2519,1.59
erythronate*,GL405,CK10,0.8224,0.4903,0.94
N-acetylglucosamine/N-acetylgalactosamine,GL405,CK10,0.2083,0.2535,0.64
N6-carboxymethyllysine,GL405,CK10,0.5355,0.4036,0.83
citrate,GL405,CK10,0.0633,0.1499,0.31
aconitate [cis or trans],GL405,CK10,0.0651,0.1517,0.17
isocitrate,GL405,CK10,0.0894,0.1709,0.33
alpha-ketoglutarate,GL405,CK10,0.3349,0.3217,0.41
succinylcarnitine (C4-DC),GL405,CK10,0.8202,0.4896,1.05
succinate,GL405,CK10,0.6124,0.4366,1.64
fumarate,GL405,CK10,0.4446,0.3788,2.39
malate,GL405,CK10,0.3895,0.3475,1.52
2-methylcitrate/homocitrate,GL405,CK10,0.1583,0.2226,0.5
phosphate,GL405,CK10,0.0742,0.162,2.25
acetyl CoA,GL405,CK10,0.3138,0.307,0.58
butyrate/isobutyrate (4:0),GL405,CK10,0.0664,0.1524,2.74
caprate (10:0),GL405,CK10,0.7373,0.4721,1.23
cis-4-decenoate (10:1n6)*,GL405,CK10,0.5879,0.4265,0.86
10-undecenoate (11:1n1),GL405,CK10,0.4701,0.3855,0.69
laurate (12:0),GL405,CK10,0.8131,0.4891,1.11
5-dodecenoate (12:1n7),GL405,CK10,0.7188,0.4646,0.82
myristate (14:0),GL405,CK10,0.4137,0.3621,1.44
stearate (18:0),GL405,CK10,0.2017,0.2515,1.82
nonadecanoate (19:0),GL405,CK10,0.5296,0.4036,1.6
arachidate (20:0),GL405,CK10,0.3533,0.3304,1.78
behenate (22:0)*,GL405,CK10,0.8319,0.4916,1.01
myristoleate (14:1n5),GL405,CK10,0.941,0.5297,0.95
palmitoleate (16:1n7),GL405,CK10,0.1884,0.2403,1.88
oleate/vaccenate (18:1),GL405,CK10,0.1227,0.1966,2.25
eicosenoate (20:1),GL405,CK10,0.2401,0.2709,2.01
erucate (22:1n9),GL405,CK10,0.2737,0.2907,1.78
tetradecadienoate (14:2)*,GL405,CK10,0.7628,0.4733,0.73
hexadecatrienoate (16:3n3),GL405,CK10,0.1576,0.2226,2.94
heptadecatrienoate (17:3)*,GL405,CK10,0.0095,0.0511,4.52
stearidonate (18:4n3),GL405,CK10,0.0127,0.0605,3.13
eicosapentaenoate (EPA; 20:5n3),GL405,CK10,0.1532,0.2192,2.05
docosapentaenoate (n3 DPA; 22:5n3),GL405,CK10,0.0469,0.1289,3.65
docosatrienoate (22:3n3),GL405,CK10,0.0695,0.1559,3.32
hexadecadienoate (16:2n6),GL405,CK10,0.0269,0.0915,3.21
linoleate (18:2n6),GL405,CK10,0.0512,0.1322,2.95
linolenate [alpha or gamma; (18:3n3 or 6)],GL405,CK10,0.0063,0.0386,4.56
dihomo-linoleate (20:2n6),GL405,CK10,0.2788,0.2929,1.86
dihomo-linolenate (20:3n3 or n6),GL405,CK10,0.2157,0.2564,1.81
arachidonate (20:4n6),GL405,CK10,0.622,0.4389,1.09
docosadienoate (22:2n6),GL405,CK10,0.8959,0.5161,1.15
(12 or 13)-methylmyristate (a15:0 or i15:0),GL405,CK10,0.3529,0.3304,1.53
(14 or 15)-methylpalmitate (a17:0 or i17:0),GL405,CK10,0.5195,0.4014,1.37
(16 or 17)-methylstearate (a19:0 or i19:0),GL405,CK10,0.5977,0.431,1.42
glutarate (C5-DC),GL405,CK10,0.5121,0.3998,2.26
2-hydroxyglutarate,GL405,CK10,0.2641,0.2884,1.62
3-hydroxyadipate,GL405,CK10,0.4938,0.3925,1.42
maleate,GL405,CK10,0.3835,0.3449,1.98
suberate (C8-DC),GL405,CK10,0.3544,0.3304,0.58
azelate (C9-DC),GL405,CK10,0.6483,0.4477,1.15
sebacate (C10-DC),GL405,CK10,0.9928,0.541,0.99
dodecanedioate (C12-DC),GL405,CK10,0.972,0.5392,1.09
dodecadienoate (12:2)*,GL405,CK10,0.9763,0.5394,1.24
tetradecanedioate (C14-DC),GL405,CK10,0.157,0.2226,1.5
hexadecanedioate (C16-DC),GL405,CK10,0.2975,0.3048,1.47
hexadecenedioate (C16:1-DC)*,GL405,CK10,0.3031,0.3051,0.49
octadecanedioate (C18-DC),GL405,CK10,0.9002,0.5162,0.98
octadecenedioate (C18:1-DC),GL405,CK10,0.7563,0.4726,1.18
octadecadienedioate (C18:2-DC)*,GL405,CK10,0.8329,0.4916,0.88
nonadecanedioate (C19-DC),GL405,CK10,0.6053,0.4323,1.19
propionylcarnitine (C3),GL405,CK10,0.0927,0.1735,2.46
methylmalonate (MMA),GL405,CK10,0.9124,0.5186,1.18
acetylcarnitine (C2),GL405,CK10,0.1891,0.2403,1.85
octanoylcarnitine (C8),GL405,CK10,0.7207,0.4646,0.82
"cis-3,4-methyleneheptanoylcarnitine",GL405,CK10,0.8171,0.4896,0.84
pentadecanoylcarnitine (C15)*,GL405,CK10,0.289,0.3004,0.48
palmitoylcarnitine (C16),GL405,CK10,0.1818,0.2372,0.41
margaroylcarnitine (C17)*,GL405,CK10,0.1779,0.2343,0.46
stearoylcarnitine (C18),GL405,CK10,0.0846,0.1689,0.3
arachidoylcarnitine (C20)*,GL405,CK10,0.0394,0.1176,0.41
behenoylcarnitine (C22)*,GL405,CK10,0.000041122,0.0028,0.15
lignoceroylcarnitine (C24)*,GL405,CK10,0.0035,0.0305,0.34
cerotoylcarnitine (C26)*,GL405,CK10,0.1097,0.1833,0.44
3-decenoylcarnitine,GL405,CK10,0.9564,0.5355,0.96
cis-4-decenoylcarnitine (C10:1),GL405,CK10,0.1863,0.2394,2.1
undecenoylcarnitine (C11:1),GL405,CK10,0.3003,0.3051,1.46
5-dodecenoylcarnitine (C12:1),GL405,CK10,0.8453,0.4961,1.31
myristoleoylcarnitine (C14:1)*,GL405,CK10,1,0.541,1
palmitoleoylcarnitine (C16:1)*,GL405,CK10,0.7178,0.4646,0.75
oleoylcarnitine (C18:1),GL405,CK10,0.4782,0.3886,0.52
eicosenoylcarnitine (C20:1)*,GL405,CK10,0.2137,0.2555,0.48
linoleoylcarnitine (C18:2)*,GL405,CK10,0.2045,0.2519,0.25
dihomo-linoleoylcarnitine (C20:2)*,GL405,CK10,0.1805,0.237,0.23
arachidonoylcarnitine (C20:4),GL405,CK10,0.1227,0.1966,0.2
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,GL405,CK10,0.1035,0.1811,0.22
(R)-3-hydroxybutyrylcarnitine,GL405,CK10,0.2269,0.2615,0.6
(S)-3-hydroxybutyrylcarnitine,GL405,CK10,0.0726,0.1603,0.45
3-hydroxyoctanoylcarnitine (1),GL405,CK10,0.186,0.2394,0.55
3-hydroxydecanoylcarnitine,GL405,CK10,0.6289,0.4423,0.74
3-hydroxyoleoylcarnitine,GL405,CK10,0.6383,0.4459,0.72
deoxycarnitine,GL405,CK10,0.9386,0.5291,0.98
carnitine,GL405,CK10,0.789,0.4831,1.05
3-hydroxybutyrate (BHBA),GL405,CK10,0.1172,0.1922,0.25
acetylcholine,GL405,CK10,0.3794,0.3437,1.42
myristoylcholine*,GL405,CK10,0.2157,0.2564,1.91
palmitoylcholine,GL405,CK10,0.1033,0.1811,0.51
oleoylcholine,GL405,CK10,0.5164,0.3998,0.64
linoleoylcholine*,GL405,CK10,0.8199,0.4896,0.82
stearoylcholine*,GL405,CK10,0.1698,0.2296,0.45
arachidonoylcholine,GL405,CK10,0.5826,0.4248,0.77
eicosapentaenoylcholine,GL405,CK10,0.6802,0.4538,0.78
4-hydroxybutyrate (GHB),GL405,CK10,0.8721,0.507,0.98
2-hydroxystearate,GL405,CK10,0.0885,0.1709,2
2-hydroxybehenate,GL405,CK10,0.4787,0.3886,1.43
2-hydroxylignocerate*,GL405,CK10,0.673,0.453,0.85
3-hydroxyvalerate,GL405,CK10,0.0894,0.1709,0.35
3-hydroxyhexanoate,GL405,CK10,0.3719,0.3391,0.59
3-hydroxyoctanoate,GL405,CK10,0.6615,0.4518,0.86
3-hydroxylaurate,GL405,CK10,0.9529,0.5343,0.99
3-hydroxymyristate,GL405,CK10,0.4335,0.374,0.73
3-hydroxystearate,GL405,CK10,0.4577,0.3804,1.6
5-hydroxyhexanoate,GL405,CK10,0.0589,0.1428,0.43
8-hydroxyoctanoate,GL405,CK10,0.0049,0.0353,0.29
"12,13-DiHOME",GL405,CK10,0.2747,0.2907,2.33
"9,10-DiHOME",GL405,CK10,0.3437,0.3278,2.79
"2S,3R-dihydroxybutyrate",GL405,CK10,0.4632,0.3821,0.31
"2R,3R-dihydroxybutyrate",GL405,CK10,0.6888,0.4552,1.15
"17,18-DiHETE",GL405,CK10,0.1037,0.1811,2.15
5-HEPE,GL405,CK10,0.2715,0.2903,1.82
oleoyl ethanolamide,GL405,CK10,0.9123,0.5186,0.86
myristoyl ethanolamide,GL405,CK10,0.322,0.3117,0.59
palmitoyl ethanolamide,GL405,CK10,0.489,0.3911,1.37
stearoyl ethanolamide,GL405,CK10,0.3223,0.3117,1.55
eicosapentaenoyl ethanolamide,GL405,CK10,0.1126,0.1862,0.36
arachidonoyl ethanolamide,GL405,CK10,0.3126,0.3067,0.51
linoleoyl ethanolamide,GL405,CK10,0.4486,0.3799,1.75
linolenoyl ethanolamide,GL405,CK10,0.9496,0.5336,0.93
palmitoleoyl ethanolamide*,GL405,CK10,0.5422,0.4061,0.77
margaroyl ethanolamide*,GL405,CK10,0.5335,0.4036,1.35
myo-inositol,GL405,CK10,0.4796,0.3886,1.48
chiro-inositol,GL405,CK10,0.1256,0.1974,0.46
choline,GL405,CK10,0.0293,0.0981,1.77
choline phosphate,GL405,CK10,0.2041,0.2519,2.53
cytidine 5'-diphosphocholine,GL405,CK10,0.0296,0.0981,6.69
glycerophosphorylcholine (GPC),GL405,CK10,0.3648,0.3379,1.66
phosphoethanolamine,GL405,CK10,0.042,0.122,0.4
cytidine-5'-diphosphoethanolamine,GL405,CK10,0.0552,0.1372,4.08
glycerophosphoethanolamine,GL405,CK10,0.1087,0.1833,3.36
glycerophosphoserine*,GL405,CK10,0.7467,0.4724,0.89
glycerophosphoinositol*,GL405,CK10,0.8311,0.4916,0.93
trimethylamine N-oxide,GL405,CK10,0.5341,0.4036,0.75
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),GL405,CK10,0.1251,0.1974,1.79
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),GL405,CK10,0.4027,0.3555,0.87
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,GL405,CK10,0.0001,0.0038,4.29
"1,2-distearoyl-GPC (18:0/18:0)",GL405,CK10,0.5773,0.4217,1.28
1-stearoyl-2-oleoyl-GPC (18:0/18:1),GL405,CK10,0.3157,0.3075,1.32
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,GL405,CK10,0.0107,0.0555,1.81
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),GL405,CK10,0.898,0.5161,1.06
"1,2-dioleoyl-GPC (18:1/18:1)",GL405,CK10,0.0144,0.0645,1.99
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,GL405,CK10,0.005,0.0353,2.64
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),GL405,CK10,0.0485,0.1308,1.87
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,GL405,CK10,0.0027,0.0252,4.66
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,GL405,CK10,0.0573,0.1407,1.67
"1,2-dipalmitoyl-GPE (16:0/16:0)*",GL405,CK10,0.6431,0.447,0.72
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,GL405,CK10,0.5204,0.4014,1.26
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),GL405,CK10,0.5072,0.3977,1.37
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,GL405,CK10,0.0018,0.0198,3.04
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,GL405,CK10,0.0581,0.1418,0.3
1-stearoyl-2-oleoyl-GPE (18:0/18:1),GL405,CK10,0.1479,0.2161,1.72
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,GL405,CK10,0.3637,0.3376,1.68
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),GL405,CK10,0.0251,0.0883,1.87
"1,2-dioleoyl-GPE (18:1/18:1)",GL405,CK10,0.193,0.2434,1.46
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,GL405,CK10,0.0003,0.0059,2.95
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,GL405,CK10,0.04,0.1176,2.27
"1,2-dilinoleoyl-GPE (18:2/18:2)*",GL405,CK10,0.004,0.0314,2.75
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),GL405,CK10,0.1077,0.1831,1.41
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),GL405,CK10,0.1035,0.1811,0.26
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,GL405,CK10,0.0708,0.1579,0.18
1-stearoyl-2-oleoyl-GPG (18:0/18:1),GL405,CK10,0.1526,0.219,3.48
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),GL405,CK10,0.000076458,0.0035,6.07
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),GL405,CK10,0.3125,0.3067,1.42
1-palmitoyl-GPC (16:0),GL405,CK10,0.2055,0.2522,1.97
1-palmitoleoyl-GPC (16:1)*,GL405,CK10,0.0159,0.0672,9.12
1-stearoyl-GPC (18:0),GL405,CK10,0.1981,0.2484,2.32
1-oleoyl-GPC (18:1),GL405,CK10,0.0111,0.0566,4.3
1-linoleoyl-GPC (18:2),GL405,CK10,0.0142,0.0645,10.65
1-linolenoyl-GPC (18:3)*,GL405,CK10,0.0163,0.0676,27.59
1-arachidonoyl-GPC (20:4n6)*,GL405,CK10,0.0398,0.1176,2.86
1-lignoceroyl-GPC (24:0),GL405,CK10,1,0.541,1
1-palmitoyl-GPE (16:0),GL405,CK10,0.0006,0.0098,3.81
1-stearoyl-GPE (18:0),GL405,CK10,0.05,0.1321,2.86
2-stearoyl-GPE (18:0)*,GL405,CK10,0.1704,0.2296,3.14
1-oleoyl-GPE (18:1),GL405,CK10,0.0117,0.0566,3.6
1-linoleoyl-GPE (18:2)*,GL405,CK10,0.022,0.0814,8.79
1-arachidonoyl-GPE (20:4n6)*,GL405,CK10,0.093,0.1735,3.4
1-stearoyl-GPS (18:0)*,GL405,CK10,0.0847,0.1689,2.47
1-stearoyl-GPG (18:0),GL405,CK10,0.1905,0.241,1.56
1-stearoyl-GPI (18:0),GL405,CK10,0.1044,0.1811,2.21
1-oleoyl-GPI (18:1),GL405,CK10,0.006,0.038,7.8
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,GL405,CK10,0.0269,0.0915,1.76
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,GL405,CK10,0.3061,0.3051,1.4
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),GL405,CK10,0.0189,0.0733,1.63
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,GL405,CK10,0.6779,0.4536,1.05
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,GL405,CK10,0.0006,0.0098,2.71
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,GL405,CK10,0.7662,0.4738,0.86
1-(1-enyl-oleoyl)-GPE (P-18:1)*,GL405,CK10,0.6004,0.4317,1.22
1-(1-enyl-stearoyl)-GPE (P-18:0)*,GL405,CK10,0.0638,0.1499,1.73
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,GL405,CK10,0.2421,0.2715,1.29
glycerol,GL405,CK10,0.0231,0.0842,0.32
glycerol 3-phosphate,GL405,CK10,0.4272,0.3693,1.51
glycerophosphoglycerol,GL405,CK10,0.1658,0.2277,0.35
1-myristoylglycerol (14:0),GL405,CK10,0.15,0.2177,3.45
1-pentadecanoylglycerol (15:0),GL405,CK10,0.3682,0.3387,2.6
1-palmitoylglycerol (16:0),GL405,CK10,0.1823,0.2372,2.78
1-palmitoleoylglycerol (16:1)*,GL405,CK10,0.064,0.1499,4
1-margaroylglycerol (17:0),GL405,CK10,0.7279,0.4676,1.57
1-oleoylglycerol (18:1),GL405,CK10,0.165,0.2275,3.37
1-linoleoylglycerol (18:2),GL405,CK10,0.076,0.1635,4.22
1-linolenoylglycerol (18:3),GL405,CK10,0.0051,0.0355,6.68
1-dihomo-linolenylglycerol (20:3),GL405,CK10,0.0951,0.1752,3.38
1-arachidonylglycerol (20:4),GL405,CK10,0.2526,0.2803,3.77
1-eicosapentaenoylglycerol (20:5)*,GL405,CK10,0.213,0.2554,4.65
2-palmitoleoylglycerol (16:1)*,GL405,CK10,0.0512,0.1322,3.93
2-oleoylglycerol (18:1),GL405,CK10,0.3111,0.3067,3.29
2-linoleoylglycerol (18:2),GL405,CK10,0.1745,0.2315,4.05
2-arachidonoylglycerol (20:4),GL405,CK10,0.1519,0.2188,3.89
2-eicosapentaenoylglycerol (20:5)*,GL405,CK10,0.3074,0.3052,3.77
1-heptadecenoylglycerol (17:1)*,GL405,CK10,0.2219,0.259,3.82
2-heptadecenoylglycerol (17:1)*,GL405,CK10,0.418,0.3652,3.3
1-dihomo-linoleoylglycerol (20:2),GL405,CK10,0.4357,0.3746,1.99
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],GL405,CK10,0.0071,0.0414,2.93
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,GL405,CK10,0.5162,0.3998,1.24
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,GL405,CK10,0.4591,0.3804,1.38
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,GL405,CK10,0.0242,0.0874,4.37
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,GL405,CK10,0.1337,0.2048,2.88
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,GL405,CK10,0.413,0.3621,1.78
sphinganine,GL405,CK10,0.107,0.1831,1.62
phytosphingosine,GL405,CK10,0.2883,0.3004,1.56
hexadecasphinganine (d16:0)*,GL405,CK10,0.575,0.4215,1.3
1-deoxysphinganine (m18:0),GL405,CK10,0.7549,0.4726,0.79
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",GL405,CK10,0.4911,0.3911,1.79
heptadecasphingosine (d17:1),GL405,CK10,0.266,0.2888,1.44
3-hydroxy-3-methylglutarate,GL405,CK10,0.3825,0.3449,0.33
7-dehydrocholesterol,GL405,CK10,0.9504,0.5336,0.99
4-cholesten-3-one,GL405,CK10,0.483,0.3894,0.65
cholate,GL405,CK10,0.1242,0.1974,0.24
glycocholate,GL405,CK10,0.6753,0.453,0.54
taurocholate,GL405,CK10,0.7792,0.4793,0.63
deoxycholate,GL405,CK10,0.7895,0.4831,0.74
glycodeoxycholate,GL405,CK10,0.5165,0.3998,0.42
taurodeoxycholate,GL405,CK10,0.4847,0.3894,0.46
inosine 5'-monophosphate (IMP),GL405,CK10,0.0172,0.0705,10.19
inosine,GL405,CK10,0.4552,0.3804,0.71
hypoxanthine,GL405,CK10,0.6793,0.4538,0.76
xanthine,GL405,CK10,0.3305,0.3189,1.52
xanthosine,GL405,CK10,0.0257,0.0889,0.16
2'-deoxyinosine,GL405,CK10,0.0001,0.0038,0.03
urate,GL405,CK10,0.3067,0.3051,1.38
uric acid ribonucleoside*,GL405,CK10,0.669,0.4528,1.22
allantoin,GL405,CK10,0.0928,0.1735,2.7
allantoic acid,GL405,CK10,0.7598,0.4729,1.92
adenosine 5'-monophosphate (AMP),GL405,CK10,0.0038,0.0314,6.22
adenosine 3'-monophosphate (3'-AMP),GL405,CK10,0.8737,0.507,1.39
adenosine 2'-monophosphate (2'-AMP),GL405,CK10,0.1225,0.1966,0.4
